poll_id,pollster_id,pollster,sponsors,display_name,numeric_grade,methodology,transparency_score,state,start_date,end_date,sample_size,population,party,candidate_id,candidate_name,pct,Pollster,Average Error,Error Favored Republicans,Error Favored Democrats,corrected_pct
88970,235,InsiderAdvantage,none,InsiderAdvantage,2.0,,5.0,Pennsylvania,2024-10-26,2024-10-27,800.0,lv,DEM,16661,Kamala Harris,47.4,InsiderAdvantage,5.8,81.0,19.0,48.501999999999995
88970,235,InsiderAdvantage,none,InsiderAdvantage,2.0,,5.0,Pennsylvania,2024-10-26,2024-10-27,800.0,lv,REP,16651,Donald Trump,48.4,InsiderAdvantage,5.8,81.0,19.0,43.702
88976,235,InsiderAdvantage,none,InsiderAdvantage,2.0,,5.0,Michigan,2024-10-26,2024-10-27,800.0,lv,DEM,16661,Kamala Harris,47.9,InsiderAdvantage,5.8,81.0,19.0,49.001999999999995
88976,235,InsiderAdvantage,none,InsiderAdvantage,2.0,,5.0,Michigan,2024-10-26,2024-10-27,800.0,lv,REP,16651,Donald Trump,48.5,InsiderAdvantage,5.8,81.0,19.0,43.802
88979,770,TIPP,none,TIPP Insights,1.8,Online Panel,3.0,**National,2024-10-25,2024-10-27,1288.0,lv,DEM,16661,Kamala Harris,48.0,unkwn,0,0,0,48.0
88979,770,TIPP,none,TIPP Insights,1.8,Online Panel,3.0,**National,2024-10-25,2024-10-27,1288.0,lv,REP,16651,Donald Trump,48.0,unkwn,0,0,0,48.0
88981,1741,ActiVote,none,ActiVote,,App Panel,8.0,Texas,2024-10-21,2024-10-27,400.0,lv,DEM,16661,Kamala Harris,45.0,unkwn,0,0,0,45.0
88981,1741,ActiVote,none,ActiVote,,App Panel,8.0,Texas,2024-10-21,2024-10-27,400.0,lv,REP,16651,Donald Trump,55.0,unkwn,0,0,0,55.0
88986,1741,ActiVote,none,ActiVote,,App Panel,8.0,Florida,2024-10-11,2024-10-27,400.0,lv,DEM,16661,Kamala Harris,44.2,unkwn,0,0,0,44.2
88986,1741,ActiVote,none,ActiVote,,App Panel,8.0,Florida,2024-10-11,2024-10-27,400.0,lv,REP,16651,Donald Trump,55.8,unkwn,0,0,0,55.8
88987,1741,ActiVote,none,ActiVote,,App Panel,8.0,New York,2024-10-07,2024-10-27,400.0,lv,DEM,16661,Kamala Harris,59.0,unkwn,0,0,0,59.0
88987,1741,ActiVote,none,ActiVote,,App Panel,8.0,New York,2024-10-07,2024-10-27,400.0,lv,REP,16651,Donald Trump,41.0,unkwn,0,0,0,41.0
88988,1741,ActiVote,none,ActiVote,,App Panel,8.0,California,2024-10-07,2024-10-27,400.0,lv,DEM,16661,Kamala Harris,62.8,unkwn,0,0,0,62.8
88988,1741,ActiVote,none,ActiVote,,App Panel,8.0,California,2024-10-07,2024-10-27,400.0,lv,REP,16651,Donald Trump,37.2,unkwn,0,0,0,37.2
88984,1741,ActiVote,none,ActiVote,,App Panel,8.0,Missouri,2024-10-06,2024-10-27,400.0,lv,DEM,16661,Kamala Harris,42.0,unkwn,0,0,0,42.0
88984,1741,ActiVote,none,ActiVote,,App Panel,8.0,Missouri,2024-10-06,2024-10-27,400.0,lv,REP,16651,Donald Trump,58.0,unkwn,0,0,0,58.0
88962,770,TIPP,none,TIPP Insights,1.8,Online Panel,3.0,**National,2024-10-24,2024-10-26,1292.0,lv,DEM,16661,Kamala Harris,48.0,unkwn,0,0,0,48.0
88962,770,TIPP,none,TIPP Insights,1.8,Online Panel,3.0,**National,2024-10-24,2024-10-26,1292.0,lv,REP,16651,Donald Trump,48.0,unkwn,0,0,0,48.0
88967,1250,Trafalgar Group,none,Trafalgar Group,0.7,IVR/Live Phone/Text/Online Panel/Email,4.0,Georgia,2024-10-24,2024-10-26,1087.0,lv,DEM,16661,Kamala Harris,45.9,Trafalgar Group,5.4,86.0,14.0,46.656
88967,1250,Trafalgar Group,none,Trafalgar Group,0.7,IVR/Live Phone/Text/Online Panel/Email,4.0,Georgia,2024-10-24,2024-10-26,1087.0,lv,REP,16651,Donald Trump,48.3,Trafalgar Group,5.4,86.0,14.0,43.656
88968,1250,Trafalgar Group,none,Trafalgar Group,0.7,IVR/Live Phone/Text/Online Panel/Email,4.0,Arizona,2024-10-24,2024-10-26,1094.0,lv,DEM,16661,Kamala Harris,46.0,Trafalgar Group,5.4,86.0,14.0,46.756
88968,1250,Trafalgar Group,none,Trafalgar Group,0.7,IVR/Live Phone/Text/Online Panel/Email,4.0,Arizona,2024-10-24,2024-10-26,1094.0,lv,REP,16651,Donald Trump,48.1,Trafalgar Group,5.4,86.0,14.0,43.456
88969,1754,Patriot Polling,none,Patriot Polling,1.1,IVR/Text,5.0,Michigan,2024-10-24,2024-10-26,796.0,rv,DEM,16661,Kamala Harris,49.0,unkwn,0,0,0,49.0
88969,1754,Patriot Polling,none,Patriot Polling,1.1,IVR/Text,5.0,Michigan,2024-10-24,2024-10-26,796.0,rv,REP,16651,Donald Trump,50.0,unkwn,0,0,0,50.0
88977,1304,Praecones Analytica,New Hampshire Journal,Praecones Analytica,2.0,Online Panel,8.5,New Hampshire,2024-10-24,2024-10-26,622.0,rv,DEM,16661,Kamala Harris,49.8,unkwn,0,0,0,49.8
88977,1304,Praecones Analytica,New Hampshire Journal,Praecones Analytica,2.0,Online Panel,8.5,New Hampshire,2024-10-24,2024-10-26,622.0,rv,REP,16651,Donald Trump,50.2,unkwn,0,0,0,50.2
88972,1424,Siena/NYT,none,The New York Times/Siena College,3.0,Live Phone,9.0,Texas,2024-10-23,2024-10-26,1180.0,rv,DEM,16661,Kamala Harris,41.0,unkwn,0,0,0,41.0
88972,1424,Siena/NYT,none,The New York Times/Siena College,3.0,Live Phone,9.0,Texas,2024-10-23,2024-10-26,1180.0,rv,REP,16651,Donald Trump,52.0,unkwn,0,0,0,52.0
88972,1424,Siena/NYT,none,The New York Times/Siena College,3.0,Live Phone,9.0,Texas,2024-10-23,2024-10-26,1180.0,rv,DEM,16661,Kamala Harris,40.0,unkwn,0,0,0,40.0
88972,1424,Siena/NYT,none,The New York Times/Siena College,3.0,Live Phone,9.0,Texas,2024-10-23,2024-10-26,1180.0,rv,REP,16651,Donald Trump,50.0,unkwn,0,0,0,50.0
88972,1424,Siena/NYT,none,The New York Times/Siena College,3.0,Live Phone,9.0,Texas,2024-10-23,2024-10-26,1180.0,lv,DEM,16661,Kamala Harris,42.0,unkwn,0,0,0,42.0
88972,1424,Siena/NYT,none,The New York Times/Siena College,3.0,Live Phone,9.0,Texas,2024-10-23,2024-10-26,1180.0,lv,REP,16651,Donald Trump,52.0,unkwn,0,0,0,52.0
